,Words,Ratings
0,rage,43
1,fury,36
2,provoke,29
3,infuriate,28
4,irritate,27
5,exasperate,26
6,enrage,25
7,vex,24
8,ire,23
9,indignation,23
10,incense,23
11,annoy,23
12,wrath,21
13,rile,20
14,madden,19
15,pique,19
16,chafe,19
17,passion,18
18,offend,18
19,nettle,17
20,resentment,15
21,inflame,15
22,irritation,13
23,outrage,13
24,displease,13
25,irk,13
26,choler,12
27,annoyance,12
28,exasperation,12
29,gall,12
30,aggravate,12
31,vexation,11
32,fret,11
33,rankle,11
34,bloodlust,11
35,burn,10
36,affront,10
37,displeasure,10
38,excite,10
39,ruffle,10
40,bother,10
41,heat,10
42,animosity,9
43,fume,9
44,umbrage,9
45,arouse,9
46,peeve,9
47,bug,9
48,agitation,9
49,antagonism,8
50,irritability,8
51,temper,8
52,embitter,8
53,put out,8
54,blow up,7
55,seethe,7
56,dander,7
57,mad,7
58,miff,7
59,storm,7
60,burn up,7
61,emotion,7
62,spleen,7
63,excitement,7
64,ardor,7
65,angriness,6
66,ira,6
67,see red,6
68,irateness,6
69,boil over,6
70,bristle,6
71,lose one's temper,6
72,hatred,6
73,huff,6
74,impatience,6
75,stew,6
76,tantrum,6
77,violence,6
78,agitate,6
79,antagonize,6
80,rant,6
81,steam up,6
82,dudgeon,6
83,shock,6
84,needle,6
85,upset,6
86,get,6
87,vehemence,6
88,kindle,6
89,warmth,6
90,love,6
91,fervor,6
