,Words,Ratings
0,repulsive,79
1,offensive,66
2,revolting,62
3,loathsome,59
4,repugnant,57
5,foul,53
6,nauseating,53
7,sickening,47
8,repellent,46
9,abominable,46
10,nasty,44
11,obnoxious,43
12,vile,42
13,abhorrent,37
14,horrible,32
15,nauseous,32
16,odious,29
17,horrid,28
18,hideous,27
19,shocking,27
20,distasteful,25
21,disagreeable,25
22,dreadful,24
23,unpleasant,23
24,awful,22
25,terrible,22
26,objectionable,21
27,noisome,20
28,rotten,20
29,bad,20
30,gross,19
31,ugly,19
32,ghastly,19
33,frightful,19
34,monstrous,18
35,noxious,18
36,detestable,17
37,execrable,17
38,fetid,16
39,hateful,16
40,horrifying,16
41,outrageous,16
42,grisly,15
43,unappetizing,15
44,repellant,14
45,despicable,14
46,heinous,14
47,beastly,14
48,appalling,14
49,filthy,13
50,wretched,13
51,fulsome,13
52,dirty,13
53,unspeakable,12
54,unpalatable,12
55,evil,12
56,gruesome,12
57,repelling,11
58,yucky,11
59,putrid,11
60,contemptible,11
61,lurid,11
62,obscene,11
63,rank,11
64,unattractive,11
65,deplorable,11
66,mephitic,11
67,horrendous,11
68,wicked,10
69,atrocious,10
70,base,10
71,unsavoury,10
72,unappealing,9
73,off-putting,9
74,sordid,9
75,macabre,9
76,indecent,9
77,mean,8
78,horrific,8
79,icky,8
80,displeasing,8
81,cruel,8
82,low,7
83,shabby,7
84,creepy,7
85,rancid,7
86,squalid,7
87,vicious,7
88,shameful,7
89,stinking,7
90,scandalous,7
91,unsavory,7
92,disgustful,6
93,loathly,6
94,infamous,6
95,lousy,6
96,vulgar,6
97,ghoulish,6
98,grotesque,6
99,gorgonian,6
100,unclean,6
101,vomit-provoking,6
102,foetid,6
103,immoral,6
104,degenerate,6
105,depraved,6
106,intolerable,6
107,mucky,6
108,annoying,6
109,insufferable,6
110,painful,6
111,poor,6
