,Words,Ratings
0,dread,84
1,anxiety,52
2,worry,52
3,fright,50
4,terror,45
5,alarm,40
6,dismay,40
7,apprehension,38
8,horror,36
9,panic,35
10,trepidation,33
11,concern,28
12,awe,26
13,fearfulness,25
14,cowardice,25
15,uneasiness,25
16,reverence,22
17,consternation,22
18,misgiving,22
19,agitation,19
20,disquietude,19
21,be afraid,19
22,apprehend,18
23,doubt,18
24,scare,18
25,timidity,18
26,unease,18
27,apprehensiveness,18
28,foreboding,17
29,phobia,17
30,suspect,17
31,angst,16
32,anticipate,16
33,nervousness,16
34,disquiet,15
35,distress,15
36,foresee,15
37,respect,15
38,venerate,14
39,funk,14
40,expect,14
41,revere,13
42,aversion,13
43,qualm,13
44,solicitude,13
45,veneration,12
46,cold feet,12
47,abhorrence,12
48,nightmare,12
49,suspicion,12
50,fret,12
51,trouble,12
52,care,11
53,chickenheartedness,11
54,faintheartedness,11
55,have qualms,11
56,be afraid of,11
57,sweat,11
58,falter,10
59,start,10
60,despair,10
61,hesitation,10
62,perturbation,10
63,blue funk,10
64,presentiment,9
65,be frightened,9
66,stress,9
67,cravenness,9
68,anxiousness,9
69,stew,9
70,misdoubt,8
71,bugbear,8
72,cold sweat,8
73,creeps,8
74,jitters,8
75,revulsion,8
76,be disquieted,8
77,feel concern,8
78,shudder at,8
79,intimidation,8
80,fuss,8
81,shrink,7
82,tremble,7
83,blanch,7
84,quail,7
85,diffidence,7
86,discomposure,7
87,tremor,7
88,avoid,7
89,shun,7
90,shy,7
91,mistrust,7
92,wonder,7
93,bother,7
94,cower,6
95,trembling,6
96,flinch,6
97,tremble at,6
98,feeling,6
99,distrust,6
100,be scared of,6
101,spinelessness,6
102,suspense,6
103,nervosity,6
104,concernment,6
105,be frightened of,6
