,Words,Ratings
0,sinful,24
1,blameworthy,20
2,culpable,18
3,ashamed,14
4,censurable,13
5,contrite,13
6,sorry,13
7,at fault,12
8,reprehensible,12
9,condemned,11
10,remorseful,11
11,shamefaced,10
12,delinquent,10
13,responsible,10
14,sheepish,10
15,hangdog,9
16,sorrowful,9
17,blameful,9
18,criminal,9
19,regretful,9
20,rueful,9
21,chargeable,7
22,wrong,7
23,penitent,7
24,perpetrator,7
25,blamable,6
26,conscience-stricken,6
27,apologetic,6
28,repentant,6
29,impeachable,6
