,Words,Ratings
0,delight,66
1,pleasure,59
2,happiness,54
3,ecstasy,50
4,rapture,38
5,bliss,36
6,enjoyment,35
7,gladness,32
8,satisfaction,32
9,elation,30
10,cheer,29
11,exhilaration,29
12,gaiety,29
13,glee,26
14,joyfulness,24
15,gratification,24
16,felicity,22
17,joyousness,20
18,exultation,19
19,cheerfulness,19
20,amusement,18
21,jubilation,18
22,transport,13
23,delectation,13
24,pride,13
25,excitement,13
26,fun,12
27,jollity,12
28,merriment,11
29,paradise,11
30,rejoice,10
31,euphoria,10
32,mirth,10
33,contentment,10
34,enchantment,9
35,beatitude,9
36,blessedness,9
37,liveliness,9
38,triumph,9
39,exuberance,9
40,joviality,9
41,heaven,9
42,exaltation,9
43,diversion,8
44,rejoicing,8
45,zest,8
46,seventh heaven,8
47,exult,7
48,enthusiasm,7
49,hilarity,7
50,treasure,7
51,entertainment,7
52,high spirits,7
53,gusto,7
54,glory,7
55,gladden,6
56,effervescence,6
57,emotion,6
58,animation,6
59,comfort,6
60,festivity,6
61,frolic,6
62,fruition,6
63,prize,6
64,ravishment,6
65,treat,6
66,kick,6
67,nirvana,6
68,passion,6
69,buoyancy,6
70,light-heartedness,6
71,relish,6
72,recreation,6
73,spirit,6
74,energy,6
75,fire,6
76,jubilee,6
77,fervor,6
78,frenzy,6
79,thrill,6
80,love,6
