,disgust,shame,sadness,anger,fear,joy,guilt,surprise
0,distastefully,,disconsol,gravel,outrageous,concern,,flabbergasted
1,offensive,,dispirited,hatefully,foreboding,jubilantly,,terrific
2,loathsom,,contritely,plaguey,unassert,euphoriant,,gravel
3,noisom,,piti,short_temper,panic,approved,,awestruck
4,turn_off,,cheerless,the_green-eyed_monster,constern,ebulli,,wonderment
5,detestable,,melancholi,begrudg,scarey,rejoic,,bewild
6,repulse,,uncheerfulness,enviabl,unkind,partiality,,baffle
7,detestably,,dispiriting,bad_temp,unsur,cheerful,,terrifically
8,distasteful,,misery,bitterness,hysteria,rejoicing,,surprisedly
9,hideous,,shamed,nettle,alert,teased,,astonished
10,abominably,,depressed,resentfully,hyster,jubilancy,,awed
11,repellant,,remors,baffled,cruelly,jubil,,stupefied
12,sicken,,penitence,amok,horrify,kindheartedness,,beat
13,wicked,,loneli,incense,dire,affective,,stun
14,disgustedly,,unhappiness,overjeal,cliff-hanging,approv,,thunderstruck
15,sick_of,,deject,sulki,uneasili,likeabl,,stupefaction
16,nauseating,,down,malignity,frightening,lightsomeness,,puzzle
17,churn_up,,somber,wrath,atroci,enchanting,,howling
18,vile,,woefulness,vindictive,unassertively,buoyanc,,marvellously
19,offens,,disconsolateness,hatred,hesitantly,self-complacency,,surprised
20,horror,,dolorous,spiteful,scare_away,gladsom,,puzzl
21,nauseous,,aggrieve,belligerently,hardheart,mirthfully,,nonplus
22,odiously,,melancholy,nettled,scared,amative,,besot
23,sick,,long-fac,with_hostil,chill,benef,,astoni
24,nausea,,penitentially,huffy,heartlessly,consol,,astonishment
25,obscen,,deplor,see_r,chilling,schadenfreude,,tremend
26,disgustingly,,self-pity,choler,self-distrust,benefic,,surpris
27,repulsion,,grieving,devil,pall,care,,dumfound
28,repulsively,,weep,indignant,coldhearted,fulfillment,,surprise
29,loathly,,wretched,crucifi,diffidence,gay,,fantastic
30,disgustful,,heartsickness,frustrate,hesit,sooth,,toppingly
31,noisome,,miserable,detest,horrif,endear,,wonder
32,queasi,,griev,enraged,horribly,fulfil,,astound
33,repel,,joylessness,hostility,dash,joviality,,admiration
34,revolting,,grim,belligerency,intimidated,tast,,awful
35,abomin,,lachrymos,rage,cruelli,be_on_cloud_nin,,stupefying
36,revulsion,,dolefully,aggressiveness,terrible,offering_protect,,aw
37,loath,,grief-stricken,maliciously,bode,gala,,awestricken
38,disgusting,,oppressive,resentment,trepidly,satisfiable,,bewilder
39,wick,,guilti,envious,uneasily,enthralling,,baffl
40,revolt,,guilty_consci,exacerb,cruelty,tenderness,,dumbfound
41,sickening,,sadness,exasperating,pitiless,devot,,in_awe_of
42,detest,,miser,vindict,bullied,with_happi,,mystify
43,disgusted,,dysphoric,pissed,hardheartedness,friendli,,daze
44,nauseated,,guilt,despising,unsure,hilariously,,stupefy
45,repuls,,tyrannical,persecute,horrid,affectional,,amaze
46,yucki,,distress,umbrag,fearsom,solac,,dazed
47,tired_of,,forlornly,displease,frightened,sympathetic,,surprisingly
48,abhorrent,,sadden,lividly,horrendous,uproarious,,rattl
49,revoltingly,,world-weariness,galling,ugly,comfort,,stupefi
50,abhorr,,despondence,harried,bashfully,zeal,,superbly
51,foul,,plaintive,malevol,bulli,satisfying,,awe
52,odious,,Weltschmerz,angrili,affright,elat,,howl
53,yucky,,demoralization,indignantly,panic-struck,beam,,perplex
54,repugn,,gloom,despisal,fearfully,warmth,,dumfounded
55,nauseate,,guilty_conscience,bothersom,intimidation,pep_up,,superbl
56,queasy,,deplorably,animos,diffident,lighthearted,,amazing
57,repugnance,,depressive,despis,shy,laudably,,amazement
58,revuls,,mournful,green-eyed_monster,cliff-hang,happiness,,stupifi
59,fed_up,,godforsaken,pesky,direful,euphoric,,wonderfully
60,sickish,,heartbreaking,sulk,hideous,amatory,,stunned
61,repulsive,,sorrowing,teasing,merciless,preference,,wonderful
62,distast,,grief,pestiferous,hideously,exhilaration,,trounc
63,loathsome,,demoralis,enviously,suspenseful,gratifi,,astounding
64,sickeningly,,lament,rancour,pitilessness,schadenfreud,,wondrous
65,disgust,,misfortun,misanthrop,fear,adoring,,dumbfounded
66,obscene,,persecut,outraged,browbeaten,approbatori,,admir
67,nauseat,,repentance,greedi,stage_fright,exalt,,amaz
68,repellent,,sorrowful,angrily,horror,anticipate,,flabbergast
69,repugnant,,woeful,rancor,shyness,soft-boiled,,amazed
70,nasty,,woefully,wrothful,timorousness,amorous,,terrif
71,creepy,,dispirit,temper,crawl,worship,,stupid
72,,,penance,pout,scari,delighted,,wondrously
73,,,blue,despise,suspense,merri,,rattling
74,,,pathetic,misocainea,trepid,sympathi,,stagger
75,,,disheartening,indignation,monstrous,approving,,astonishingly
76,,,tyrann,harri,awful,adoration,,astonied
77,,,brokenhearted,wrathfully,shyli,entrancing,,trounce
78,,,dreari,frustrat,fright,tender,,mystifi
79,,,despondent,grasping,aw,thirstily,,stupefact
80,,,heartsick,displeas,presenti,gleefulli,,marvelously
81,,,oppress,ill_temp,bash,admirably,,astonish
82,,,demoralizing,misoneism,appall,amatori,,astounded
83,,,dysphor,infuri,terribl,with_empathi,,astonishing
84,,,helplessness,huffily,timorous,proudly,,tremendous
85,,,pitiable,ill_wil,presage,cheerfully,,amazingly
86,,,ruefulli,irasc,shiveri,enjoy,,top
87,,,guilty,covet,apprehension,good_wil,,get
88,,,forlornness,misogynic,timidly,identify,,surprising
89,,,misfortunate,bad_blood,terror,affection,,marvelous
90,,,uncheerful,offense,diffid,ebulliently,,fantast
91,,,wretch,ill_temper,heartlessness,predilect,,marvel
92,,,downtrodden,enviousness,apprehensively,identification,,stupify
93,,,guilt_feelings,misogami,shi,approb,,flummox
94,,,demor,provok,premonit,gladsomeness,,staggering
95,,,heavyheartedness,piss,cruel,admire,,
96,,,plaintively,tantal,intimid,satisfactorily,,
97,,,disconsolate,loathing,scarily,uproariously,,
98,,,lorn,covetous,cower,protective,,
99,,,dysphoria,malic,dismay,gayli,,
100,,,cast_down,loath,timorously,identif,,
101,,,weepi,sulkiness,ugli,perkiness,,
102,,,poor,with_hostility,terrifi,bang,,
103,,,blue_devils,pester,apprehensive,favor,,
104,,,distressed,infuriate,heartless,elan,,
105,,,low-spirited,annoying,shadow,embolden,,
106,,,dole,abomination,ruthlessness,congratul,,
