,Words,Ratings
0,melancholy,338
1,miserable,219
2,sorrowful,194
3,unhappy,179
4,gloomy,165
5,depressed,151
6,mournful,150
7,dejected,142
8,dismal,135
9,downhearted,129
10,morose,108
11,woeful,99
12,despondent,97
13,blue,95
14,joyless,83
15,wretched,81
16,downcast,72
17,doleful,72
18,cheerless,72
19,disconsolate,71
20,grievous,54
21,distressed,41
22,woebegone,39
23,down,37
24,dreary,37
25,forlorn,37
26,glum,36
27,sorry,35
28,grave,35
29,dolorous,34
30,low-spirited,34
31,lugubrious,33
32,deplorable,32
33,lamentable,32
34,dispirited,32
35,depressing,32
36,crestfallen,32
37,sore,31
38,dire,30
39,painful,30
40,despairing,29
41,pitiful,28
42,rueful,28
43,distressing,27
44,tragic,27
45,desolate,27
46,bleak,27
47,inconsolable,27
48,disturbing,27
49,leaden,27
50,funereal,26
51,troubled,26
52,serious,26
53,offended,26
54,heartrending,25
55,oppressive,25
56,nasty,25
57,sombre,24
58,cruel,23
59,unfortunate,22
60,pathetic,22
61,tough,22
62,rough,22
63,sensitive,22
64,somber,21
65,difficult,21
66,profound,21
67,severe,21
68,stressful,21
69,sluggish,21
70,weighty,21
71,taxing,21
72,soul-crushing,21
73,pitiable,20
74,low,20
75,disheartened,20
76,unbearable,20
77,ponderous,19
78,adust,19
79,complex,19
80,hard,19
81,complicated,18
82,multiple,18
83,boffinated,18
84,far out,18
85,lumbersome,18
86,bad,17
87,bloody difficult,17
88,overspecified,17
89,hell,17
90,penal,17
91,backbreaking,17
92,unchildlike,17
93,drudgery,17
94,convict,17
95,intricate,17
96,compound,17
97,elaborate,17
98,involved,17
99,anfractuous,17
100,tricky,17
101,sophisticated,17
102,perplexed,17
103,daedal,17
104,inextricable,17
105,involute,17
106,knotty,17
107,decomposite,17
108,multiplicate,17
109,operose,17
110,woofed,17
111,plexiform,17
112,esoteric,17
113,knotted,17
114,tangly,17
115,ambitious,17
116,problematic,17
117,curlicue,17
118,trickish,17
119,byzantine,17
120,sinuated,17
121,hard to understand,17
122,labyrinthine,17
123,hard-hitting,17
124,impossible,17
125,laborious,17
126,thorny,17
127,trying,17
128,languorous,17
129,massive,17
130,plodding,17
131,rugged,17
132,stodgy,17
133,tight,17
134,cowish,17
135,heavyweight,17
136,logged,17
137,punishing,17
138,tanklike,17
139,wall-eyed,17
140,fusty,17
141,grinding,17
142,slab,17
143,sthenic,17
144,throng,17
145,sticky,17
146,toilful,17
147,toilsome,17
148,burly,17
149,precarious,17
150,stubborn,17
151,heavy weight,17
152,wall eyed,17
153,burdensome,17
154,lumpish,17
155,massy,17
156,stale,17
157,messy,17
158,lumpy,17
159,sheer,17
160,hard to bear,17
161,having great weight,17
162,hard-nosed,17
163,heavy-handed,17
164,hurt,16
165,lachrymose,16
166,pessimistic,16
167,injured,16
168,composite,16
169,multiplex,16
170,hefty,16
171,stertorous,16
172,arduous,16
173,poignant,15
174,wistful,15
175,black,15
176,heartsick,15
177,morbid,15
178,upset,15
179,disturbed,15
180,harmed,15
181,sinuous,15
182,melancholic,14
183,plaintive,14
184,regrettable,14
185,moody,14
186,dark,14
187,anguished,14
188,very upset,14
189,cheap,13
190,disappointing,13
191,sullen,13
192,wronged,13
193,heavy-hearted,12
194,bitter,12
195,tearful,12
196,comfortless,12
197,appalling,12
198,mirthless,12
199,victimized,12
200,desperate,11
201,pained,11
202,poor,10
203,moving,10
204,dull,10
205,heartbroken,10
206,heavy,10
207,heavyhearted,10
208,hopeless,10
209,piteous,10
210,grief-stricken,10
211,in the dumps,10
212,pensive,10
213,disheartening,10
214,upsetting,10
215,saturnine,10
216,regretful,10
217,grim,10
218,discouraged,10
219,awful,10
220,aggrieved,10
221,afflicted,10
222,terrible,10
223,dreadful,10
224,abominable,10
225,hangdog,10
226,homesick,10
227,down in the dumps,10
228,piqued,10
229,resentful,10
230,annoyed,10
231,abused,10
232,murky,9
233,chap-fallen,9
234,broken-hearted,9
235,drear,9
236,sober,9
237,shocking,9
238,tragical,9
239,discontent,9
240,gross,9
241,unfulfilled,9
242,very hard,9
243,common,8
244,grieved,8
245,weeping,8
246,disastrous,8
247,saddening,8
248,shabby,8
249,dour,8
250,in the doldrums,8
251,solemn,8
252,sulky,8
253,affecting,8
254,touching,8
255,disappointed,8
256,execrable,8
257,subdued,8
258,horrible,8
259,afflictive,8
260,brokenhearted,8
261,depressive,8
262,dingy,8
263,downbeat,8
264,flagrant,8
265,heartsore,8
266,lamenting,8
267,overcast,8
268,paltry,8
269,chagrined,8
270,bored,8
271,odious,8
272,atrocious,8
273,tristful,7
274,dispiriting,7
275,languishing,7
276,calamitous,7
277,hapless,7
278,heart-rending,7
279,unsatisfactory,7
280,second-class,7
281,drab,7
282,lowering,7
283,harrowing,7
284,grieving,7
285,saddened,7
286,inauspicious,7
287,unlucky,7
288,distressful,7
289,base,7
290,dusk,7
291,dusky,7
292,mean,7
293,despicable,7
294,foul,7
295,gray,7
296,crummy,7
297,horrid,7
298,beastly,7
299,grizzly,7
