,Words,Ratings
0,disgrace,36
1,embarrass,35
2,discredit,35
3,dishonour,34
4,mortify,33
5,humiliate,31
6,ignominy,30
7,humiliation,29
8,dishonor,28
9,infamy,25
10,scandal,24
11,opprobrium,24
12,contempt,22
13,remorse,22
14,obloquy,22
15,chagrin,22
16,humble,21
17,disrepute,21
18,reproach,21
19,smear,20
20,degrade,20
21,guilt,19
22,stigma,18
23,degradation,18
24,mortification,18
25,abash,18
26,embarrassment,18
27,odium,17
28,compunction,16
29,contrition,16
30,stain,15
31,blot,15
32,disesteem,14
33,debase,14
34,disconcert,14
35,defile,13
36,self-reproach,13
37,ill repute,12
38,abashment,12
39,shamefacedness,12
40,ridicule,12
41,indignity,12
42,defame,12
43,put down,11
44,derision,11
45,loss of face,11
46,tarnish,10
47,abase,10
48,pang,10
49,pudency,10
50,self-reproof,10
51,stupefaction,10
52,treachery,10
53,confound,10
54,take down,10
55,discountenance,9
56,bad conscience,9
57,confusion,9
58,discomposure,9
59,irritation,9
60,self-disgust,9
61,take down a peg,9
62,pity,8
63,scandalize,8
64,sully,8
65,put to shame,8
66,crush,8
67,lower,8
68,disparagement,8
69,subdue,8
70,insult,7
71,taint,7
72,regret,7
73,sorrow,7
74,libel,7
75,stigmatize,7
76,modesty,7
77,attaint,6
78,soil,6
79,abomination,6
80,confuse,6
81,disfavor,6
82,cut down to size,6
83,give a black eye,6
84,discomfit,6
85,abasement,6
86,debasement,6
87,demean,6
88,scorn,6
89,derogation,6
90,contriteness,6
91,chasten,6
92,bring down,6
93,outrage,6
94,denigration,6
95,penitence,6
96,sin,6
97,besmirch,6
98,shyness,6
99,bring into disrepute,6
100,shenanigans,6
