,Words,Ratings
0,shock,62
1,astonish,47
2,astound,40
3,dumbfound,34
4,startle,32
5,stun,28
6,amaze,25
7,wonder,23
8,stagger,23
9,stupefy,22
10,flabbergast,22
11,bewilder,21
12,astonishment,21
13,jolt,20
14,awe,19
15,daze,18
16,amazement,18
17,stupefaction,16
18,bowl over,16
19,floor,16
20,overwhelm,15
21,take aback,14
22,confound,14
23,dazzle,12
24,dumfound,11
25,bombshell,10
26,revelation,10
27,blow,10
28,catch,9
29,unexpected,9
30,nonplus,9
31,bushwhack,8
32,bewilderment,8
33,wonderment,8
34,disconcert,8
35,dismay,8
36,petrify,8
37,eye-opener,7
38,shocker,7
39,surprisal,6
40,ambush,6
41,waylay,6
42,alarm,6
43,perplex,6
44,attack,6
45,marvel,6
46,unforeseen,6
47,confuse,6
48,discover,6
49,scare,6
50,strike,6
51,admiration,6
